"","Project","Owner.s.","Confidence","variable","value"
"875","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","MoT",0.276357531479011
"876","Ashram Total","Commerce Resources Corp.","Measured + Indicated","MoT",0.240617626508797
"877","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","MoT",0.262591187581515
"878","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","MoT",0.253658536585366
"879","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","MoT",0.165556612749762
"880","Browns Range","Northern Minerals Limited","Measured + Indicated","MoT",0.16513275002702
"881","Buckton","DNI Metals Inc.","Measured + Indicated","MoT",0.25218080888184
"882","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","MoT",0.244
"883","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","MoT",0.244
"884","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","MoT",0.229
"885","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","MoT",0.229375
"886","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","MoT",0.228682187984311
"887","Foxtrot","Search Minerals Inc.","Measured + Indicated","MoT",0.265628023998452
"888","Glenover ","Galileo Resources PLC","Measured + Indicated","MoT",0.327158537404975
"889","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","MoT",0.303503654726024
"890","Kipawa","Matamec Explorations Inc.","Measured + Indicated","MoT",0.256415850648276
"891","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","MoT",0.247368421052632
"892","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","MoT",0.135265700483092
"893","Montviel","Geomega Resources Inc.","Measured + Indicated","MoT",0.237885462555066
"894","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","MoT",0.264386317907445
"895","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","MoT",0.26994601079784
"896","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","MoT",0.217258473599262
"897","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","MoT",0.224099993194656
"898","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","MoT",0.28901889340168
"899","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","MoT",0.299749934193209
"900","Ngualla","Peak Resources Ltd.","Measured + Indicated","MoT",0.2301
"901","Nolans","Arafura Resources Ltd.","Measured + Indicated","MoT",0.293147169983162
"902","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","MoT",0.219189179669614
"903","Olserum","Tasman Metals Ltd.","Measured + Indicated","MoT",0.231163505894413
"904","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","MoT",0.152789290257543
"905","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","MoT",0.264297016274864
"906","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","MoT",0.245646734980883
"907","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","MoT",0.271888424266568
"908","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","MoT",0.269102063580591
"909","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","MoT",0.201249132546842
"910","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","MoT",0.225336322869955
"911","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","MoT",0.246205692556019
"912","Xiluvo","Promac Lda.","Measured + Indicated","MoT",0.25615763546798
"913","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","MoT",0.326609455974843
"914","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","MoT",0.237075032178296
"915","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","MoT",0.220194804263316
"916","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","MoT",0.202358590137445
"917","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","MoT",0.276152768660612
"918","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","MoT",0.240411679833017
"919","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","MoT",0.265115301338546
"920","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","MoT",0.255831102530676
"921","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","MoT",0.165556612749762
"922","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","MoT",0.163528596954338
"923","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","MoT",0.255650052510919
"924","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","MoT",0.259496201519392
"925","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","MoT",0.244
"926","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","MoT",0.244
"927","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","MoT",0.233196159122085
"928","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","MoT",0.229
"929","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","MoT",0.22952698810555
"930","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","MoT",0.227487975450236
"931","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","MoT",0.264969882957607
"932","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","MoT",0.323911975003753
"933","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","MoT",0.302496721492668
"934","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","MoT",0.255154938173622
"935","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","MoT",0.230744932539663
"936","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","MoT",0.135874577313249
"937","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","MoT",0.20495867768595
"938","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","MoT",0.23732896250427
"939","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","MoT",0.264386317907445
"940","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","MoT",0.26994601079784
"941","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","MoT",0.217257626980402
"942","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","MoT",0.224100860862435
"943","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","MoT",0.2918801304529
"944","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","MoT",0.298780852270974
"945","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","MoT",0.2301
"946","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","MoT",0.295666266916103
"947","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","MoT",0.220506256289047
"948","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","MoT",0.246450206737395
"949","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","MoT",0.153240349622334
"950","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","MoT",0.266874760101273
"951","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","MoT",0.24459252758153
"952","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","MoT",0.27197603671799
"953","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","MoT",0.269102063580591
"954","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","MoT",0.201249132546842
"955","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","MoT",0.226970881371758
"956","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","MoT",0.244745489077149
"957","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","MoT",0.241962774957699
"958","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","MoT",0.127837648914657
"959","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","MoT",0.25615763546798
"960","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","MoT",0.322097527323356
"961","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","MoT",0.237074414035278
"962","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","MoT",0.262852490662855
"963","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","MoT",0.229
"964","Kipawa","Matamec Explorations Inc.","Proven + Probable","MoT",0.240253411306043
"965","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","MoT",0.264386317907445
"966","Mountain Pass","Molycorp Inc.","Proven + Probable","MoT",0.167000200120072
"967","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","MoT",0.286072768294241
"968","Ngualla","Peak Resources Ltd.","Proven + Probable","MoT",0.230607756897241
"969","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","MoT",0.218810693958893
"970","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","MoT",0.207383185612254
