"","Project","Owner.s.","Confidence","variable","value"
"219","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","LREO",1.35247762158669
"220","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","LREO",1.4131
"221","Ngualla","Peak Resources Ltd.","Measured + Indicated","LREO",2.29746712
"222","Nolans","Arafura Resources Ltd.","Measured + Indicated","LREO",2.66582312252964
"223","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","LREO",0.29873
"224","Olserum","Tasman Metals Ltd.","Measured + Indicated","LREO",0.4013
"225","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","LREO",0.0185463105212527
"226","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","LREO",1.758
"227","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","LREO",1.535294224
"228","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","LREO",14.0654919499106
"229","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","LREO",6.715
"230","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","LREO",0.766
"231","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","LREO",0.578
"232","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","LREO",0.074913232415206
"233","Xiluvo","Promac Lda.","Measured + Indicated","LREO",1.92
"234","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","LREO",1.573285746
"235","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","LREO",2.151499228
"236","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","LREO",0.06455
"237","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","LREO",4.13719155178508
"238","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","LREO",1.52213593582888
"239","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","LREO",1.83992698145025
"240","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","LREO",2.62988396551724
"241","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","LREO",0.391404583248834
"242","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","LREO",0.0377
"243","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","LREO",0.132510922462653
"244","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","LREO",0.019946149315054
"245","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","LREO",0.01941
